#,Игрок,Амплуа,Возраст,Нац.,Клуб(ы),Стоимость,Матчи,Голы,автоголы,Передачи,Желтые карточки,Вторая желтая карточка,Красные карточки,Вышел на замену,Заменен,Гол+Пас за один матч
1,Erling Haaland,Центральный нап.,23,Норвегия,Манчестер Сити,"180,00 млн €",8,7,0,2,0,0,0,0,3,1.12
10,Rodrygo,Правый Вингер,22,Бразилия,Реал Мадрид,"100,00 млн €",5,1,0,0,0,0,0,0,3,0.2
11,Federico Valverde,Центр. полузащитник,25,Уругвай,Реал Мадрид,"100,00 млн €",5,1,0,0,0,0,0,1,2,0.2
12,Gavi,Центр. полузащитник,19,Испания,Барселона,"90,00 млн €",6,2,0,0,3,0,0,1,2,0.33
13,Declan Rice,Опорный полузащитник,24,Англия,Арсенал,"90,00 млн €",7,1,0,0,0,0,0,0,2,0.14
14,Rodri,Опорный полузащитник,27,Испания,Манчестер Сити,"90,00 млн €",8,3,0,2,3,0,0,0,2,0.62
15,Rafael Leão,Левый Вингер,24,Португалия,Милан,"90,00 млн €",5,2,0,2,0,0,0,0,2,0.8
16,Martin Ødegaard,Атак. полузащитник,24,Норвегия,Арсенал,"90,00 млн €",7,2,0,0,0,0,0,0,4,0.29
17,Harry Kane,Центральный нап.,30,Англия,Бавария Мюнхен,"90,00 млн €",6,5,0,1,0,0,0,1,4,1.0
18,Eduardo Camavinga,Центр. полузащитник,20,Франция,Реал Мадрид,"85,00 млн €",6,0,0,1,0,0,0,2,3,0.17
19,Florian Wirtz,Атак. полузащитник,20,Германия,Байер 04 Леверкузен,"85,00 млн €",7,2,0,3,1,0,0,0,6,0.71
2,Kylian Mbappé,Центральный нап.,24,Франция,Пари Сен-Жермен,"180,00 млн €",5,8,0,0,0,0,0,1,0,1.6
20,Khvicha Kvaratskhelia,Левый Вингер,22,Грузия,Наполи,"85,00 млн €",3,0,0,1,0,0,0,1,2,0.33
21,Aurélien Tchouaméni,Опорный полузащитник,23,Франция,Реал Мадрид,"85,00 млн €",6,0,0,0,1,0,0,0,3,0.0
22,Lautaro Martínez,Центральный нап.,26,Аргентина,Интернационале,"85,00 млн €",4,5,0,2,1,0,0,0,1,1.75
23,Gabriel Martinelli,Левый Вингер,22,Бразилия,Арсенал,"80,00 млн €",6,0,0,2,0,0,0,0,5,0.33
24,Enzo Fernández,Опорный полузащитник,22,Аргентина,Челси,"80,00 млн €",6,1,0,0,2,0,0,1,1,0.17
25,Randal Kolo Muani,Центральный нап.,24,Франция,Пари Сен-Жермен,"80,00 млн €",7,3,0,1,0,0,0,1,6,0.57
3,Vinicius Junior,Левый Вингер,23,Бразилия,Реал Мадрид,"150,00 млн €",3,1,0,0,0,0,0,0,3,0.33
4,Jude Bellingham,Центр. полузащитник,20,Англия,Реал Мадрид,"120,00 млн €",6,6,0,2,1,0,0,0,2,1.33
5,Bukayo Saka,Правый Вингер,22,Англия,Арсенал,"120,00 млн €",7,2,0,3,1,0,0,1,1,0.71
6,Victor Osimhen,Центральный нап.,24,Нигерия,Наполи,"120,00 млн €",4,3,0,0,0,0,0,0,1,0.75
7,Jamal Musiala,Атак. полузащитник,20,Германия,Бавария Мюнхен,"110,00 млн €",3,0,0,0,0,0,0,1,1,0.0
8,Phil Foden,Левый Вингер,23,Англия,Манчестер Сити,"110,00 млн €",9,1,0,4,0,0,0,2,4,0.56
9,Pedri,Центр. полузащитник,20,Испания,Барселона,"100,00 млн €",2,1,0,0,1,0,0,0,1,0.5
26,Christopher Nkunku,Оттянутый нап.,25,Франция,Челси,"80,00 млн €",0,0,0,0,0,0,0,0,0,
27,Marcus Rashford,Левый Вингер,25,Англия,Манчестер Юнайтед,"80,00 млн €",6,1,0,1,1,0,0,0,3,0.33
28,Rúben Dias,Центр. защитник,26,Португалия,Манчестер Сити,"80,00 млн €",6,0,0,0,1,0,0,0,1,0.0
29,Bernardo Silva,Атак. полузащитник,29,Португалия,Манчестер Сити,"80,00 млн €",6,1,0,1,1,0,0,1,2,0.33
30,Moisés Caicedo,Опорный полузащитник,21,Эквадор,Челси,"75,00 млн €",4,0,0,0,0,0,0,2,1,0.0
31,Luis Díaz,Левый Вингер,26,Колумбия,Ливерпуль,"75,00 млн €",5,2,0,0,0,0,0,1,4,0.4
32,Josko Gvardiol,Центр. защитник,21,Хорватия,Манчестер Сити,"75,00 млн €",5,0,0,0,1,0,0,1,1,0.0
33,Gabriel Jesus,Центральный нап.,26,Бразилия,Арсенал,"75,00 млн €",3,1,0,0,1,0,0,3,0,0.33
34,Frenkie de Jong,Центр. полузащитник,26,Нидерланды,Барселона,"75,00 млн €",6,1,0,0,2,0,0,0,1,0.17
35,Matthijs de Ligt,Центр. защитник,24,Нидерланды,Бавария Мюнхен,"75,00 млн €",5,0,0,0,0,0,0,4,1,0.0
36,Nicolò Barella,Центр. полузащитник,26,Италия,Интернационале,"75,00 млн €",4,0,0,0,1,0,0,0,3,0.0
37,Bruno Fernandes,Атак. полузащитник,29,Португалия,Манчестер Юнайтед,"75,00 млн €",5,1,0,1,3,0,0,0,0,0.4
38,Jack Grealish,Левый Вингер,28,Англия,Манчестер Сити,"75,00 млн €",4,0,0,1,0,0,0,0,1,0.25
39,Joshua Kimmich,Опорный полузащитник,28,Германия,Бавария Мюнхен,"75,00 млн €",6,0,0,2,0,0,0,0,2,0.33
40,Bruno Guimarães,Опорный полузащитник,25,Бразилия,Ньюкасл Юнайтед,"70,00 млн €",6,0,0,0,3,0,0,0,1,0.0
41,Ronald Araújo,Центр. защитник,24,Уругвай,Барселона,"70,00 млн €",1,0,0,0,0,0,0,0,0,0.0
42,Alphonso Davies,Левый защитник,22,Канада,Бавария Мюнхен,"70,00 млн €",5,0,0,3,0,0,0,0,0,0.6
43,Éder Militão,Центр. защитник,25,Бразилия,Реал Мадрид,"70,00 млн €",1,0,0,0,0,0,0,0,1,0.0
44,Dusan Vlahovic,Центральный нап.,23,Сербия,Ювентус,"70,00 млн €",4,4,0,1,2,0,0,0,3,1.25
45,Alexander Isak,Центральный нап.,23,Швеция,Ньюкасл Юнайтед,"70,00 млн €",5,2,0,0,0,0,0,0,5,0.4
46,Kevin De Bruyne,Атак. полузащитник,32,Бельгия,Манчестер Сити,"70,00 млн €",2,0,0,1,0,0,0,1,1,0.5
47,Nuno Mendes,Левый защитник,21,Португалия,Пари Сен-Жермен,"65,00 млн €",0,0,0,0,0,0,0,0,0,
48,Darwin Núñez,Центральный нап.,24,Уругвай,Ливерпуль,"65,00 млн €",5,2,0,1,1,0,0,4,1,0.6
49,Alexis Mac Allister,Центр. полузащитник,24,Аргентина,Ливерпуль,"65,00 млн €",5,0,0,0,2,0,1,0,3,0.0
50,William Saliba,Центр. защитник,22,Франция,Арсенал,"65,00 млн €",7,0,0,1,0,0,0,0,0,0.14
51,Reece James,Правый защитник,23,Англия,Челси,"65,00 млн €",1,0,0,0,0,0,0,0,1,0.0
52,Achraf Hakimi,Правый защитник,24,Марокко,Пари Сен-Жермен,"65,00 млн €",7,2,0,1,1,0,0,0,0,0.43
53,Trent Alexander-Arnold,Правый защитник,24,Англия,Ливерпуль,"65,00 млн €",4,0,0,1,2,0,0,0,2,0.25
54,Kingsley Coman,Левый Вингер,27,Франция,Бавария Мюнхен,"65,00 млн €",5,0,0,0,1,0,0,1,4,0.0
55,Leroy Sané,Правый Вингер,27,Германия,Бавария Мюнхен,"65,00 млн €",7,5,0,0,0,0,0,0,1,0.71
56,Marquinhos,Центр. защитник,29,Бразилия,Пари Сен-Жермен,"65,00 млн €",5,0,0,0,0,0,0,1,0,0.0
57,Mohamed Salah,Правый Вингер,31,Египет,Ливерпуль,"65,00 млн €",6,2,0,4,0,0,0,0,3,1.0
58,Antony,Правый Вингер,23,Бразилия,Манчестер Юнайтед,"60,00 млн €",4,0,0,0,1,0,0,0,4,0.0
59,Julián Álvarez,Центральный нап.,23,Аргентина,Манчестер Сити,"60,00 млн €",8,4,0,4,2,0,0,1,1,1.0
60,Jonathan David,Центральный нап.,23,Канада,Лилль,"60,00 млн €",7,3,0,1,2,0,0,0,2,0.57
61,Min-jae Kim,Центр. защитник,26,Южная Корея,Бавария Мюнхен,"60,00 млн €",7,0,0,0,1,0,0,1,2,0.0
62,Jules Koundé,Центр. защитник,24,Франция,Барселона,"60,00 млн €",7,1,0,0,0,0,0,1,0,0.14
63,Raphinha,Правый Вингер,26,Бразилия,Барселона,"60,00 млн €",4,1,0,1,1,0,1,2,1,0.5
64,Cristian Romero,Центр. защитник,25,Аргентина,Тоттенхэм Хотспур,"60,00 млн €",5,2,0,0,0,0,0,0,1,0.4
65,Mason Mount,Атак. полузащитник,24,Англия,Манчестер Юнайтед,"60,00 млн €",2,0,0,0,0,0,0,0,2,0.0
66,Dayot Upamecano,Центр. защитник,24,Франция,Бавария Мюнхен,"60,00 млн €",5,0,0,0,1,0,0,0,0,0.0
67,Theo Hernández,Левый защитник,25,Франция,Милан,"60,00 млн €",6,1,0,0,3,0,0,0,1,0.17
68,Alessandro Bastoni,Центр. защитник,24,Италия,Интернационале,"60,00 млн €",4,0,0,0,0,0,0,0,1,0.0
69,James Maddison,Атак. полузащитник,26,Англия,Тоттенхэм Хотспур,"60,00 млн €",6,2,0,2,2,0,0,1,2,0.67
70,Ousmane Dembélé,Правый Вингер,26,Франция,Пари Сен-Жермен,"60,00 млн €",6,0,0,0,0,0,0,2,3,0.0
71,Neymar,Левый Вингер,31,Бразилия,Аль-Хилаль Эр-Рияд,"60,00 млн €",2,0,0,2,1,0,0,1,0,1.0
72,Wesley Fofana,Центр. защитник,22,Франция,Челси,"55,00 млн €",0,0,0,0,0,0,0,0,0,
73,Gabriel Magalhães,Центр. защитник,25,Бразилия,Арсенал,"55,00 млн €",5,0,0,0,2,0,0,2,1,0.0
74,Cody Gakpo,Левый Вингер,24,Нидерланды,Ливерпуль,"55,00 млн €",5,1,0,0,0,0,0,1,4,0.2
75,Ben White,Правый защитник,25,Англия,Арсенал,"55,00 млн €",6,0,0,0,1,0,0,0,0,0.0
100,Lucas Paquetá,Атак. полузащитник,26,Бразилия,Вест Хэм Юнайтед,"45,00 млн €",5,1,0,1,3,0,0,0,3,0.4
76,Kai Havertz,Атак. полузащитник,24,Германия,Арсенал,"55,00 млн €",8,0,0,1,2,0,0,2,4,0.12
77,Serge Gnabry,Правый Вингер,28,Германия,Бавария Мюнхен,"55,00 млн €",6,0,0,0,0,0,0,1,4,0.0
78,Raheem Sterling,Левый Вингер,28,Англия,Челси,"55,00 млн €",5,2,0,0,1,0,0,0,2,0.4
79,Alejandro Balde,Левый защитник,19,Испания,Барселона,"50,00 млн €",5,0,0,0,1,0,0,0,2,0.0
80,Gonçalo Ramos,Центральный нап.,22,Португалия,Пари Сен-Жермен,"50,00 млн €",5,0,0,0,0,0,0,2,1,0.0
81,Mykhaylo Mudryk,Левый Вингер,22,Украина,Челси,"50,00 млн €",4,0,0,0,1,0,0,3,1,0.0
82,Lisandro Martínez,Центр. защитник,25,Аргентина,Манчестер Юнайтед,"50,00 млн €",5,0,1,1,2,0,0,0,3,0.2
83,Manuel Ugarte,Опорный полузащитник,22,Уругвай,Пари Сен-Жермен,"50,00 млн €",6,0,0,2,1,0,0,1,1,0.33
84,João Félix,Оттянутый нап.,23,Португалия,Барселона,"50,00 млн €",3,3,0,1,0,0,0,1,2,1.33
85,Dominik Szoboszlai,Атак. полузащитник,22,Венгрия,Ливерпуль,"50,00 млн €",6,1,0,0,0,0,0,0,0,0.17
86,Dejan Kulusevski,Правый Вингер,23,Швеция,Тоттенхэм Хотспур,"50,00 млн €",6,2,0,0,1,0,0,1,2,0.33
87,Sandro Tonali,Опорный полузащитник,23,Италия,Ньюкасл Юнайтед,"50,00 млн €",5,1,0,0,2,0,0,0,5,0.2
88,Moussa Diaby,Правый Вингер,24,Франция,Астон Вилла,"50,00 млн €",6,2,0,2,0,0,0,0,3,0.67
89,Diogo Jota,Левый Вингер,26,Португалия,Ливерпуль,"50,00 млн €",5,1,0,0,1,0,0,2,3,0.2
90,Mikel Merino,Центр. полузащитник,27,Испания,Реал Сосьедад,"50,00 млн €",3,0,0,0,1,0,0,0,1,0.0
91,Sergej Milinkovic-Savic,Центр. полузащитник,28,Сербия,Аль-Хилаль Эр-Рияд,"50,00 млн €",4,0,0,2,0,0,1,0,1,0.5
