Date,Price,C3,C4,C5,C6,C7
"19.09.2021","142,21","138,16","142,33","136,32","140,84M","1,00%"
"12.09.2021","140,80","141,95","144,45","140,47","148,76M","-0,05%"
"05.09.2021","140,88","143,83","144,72","140,74","90,64M","-1,99%"
"29.08.2021","143,74","144,40","146,25","142,40","121,03M","-0,18%"
"22.08.2021","144,00","137,97","144,51","137,61","112,96M","4,78%"
"15.08.2021","137,43","137,52","138,36","134,25","116,35M","-0,22%"
"08.08.2021","137,73","135,94","137,86","135,34","85,00M","1,47%"
"01.08.2021","135,74","135,12","136,47","133,32","100,43M","0,75%"
"25.07.2021","134,73","133,33","138,30","130,10","237,70M","1,29%"
"18.07.2021","133,01","126,09","133,40","123,50","130,84M","4,76%"
"11.07.2021","126,97","126,18","129,33","125,61","105,30M","1,16%"
"04.07.2021","125,52","125,65","127,28","124,02","92,88M","0,21%"
"27.06.2021","125,26","122,68","125,40","121,35","120,22M","2,24%"
"20.06.2021","122,51","120,50","123,10","119,90","124,92M","2,00%"
"13.06.2021","120,11","121,61","122,78","119,47","142,10M","-1,15%"
"06.06.2021","121,51","119,47","122,09","119,05","114,17M","1,53%"
"30.05.2021","119,68","118,72","119,95","116,48","87,68M","1,56%"
"23.05.2021","117,84","115,74","119,45","115,60","132,56M","2,73%"
"16.05.2021","114,71","113,18","115,94","111,27","140,47M","0,69%"
"09.05.2021","113,92","116,41","116,55","109,68","176,69M","-3,13%"
"02.05.2021","117,60","118,25","119,08","112,83","153,78M","-0,07%"
"25.04.2021","117,68","115,23","121,57","114,31","243,62M","2,33%"
"18.04.2021","115,00","113,51","115,31","112,02","129,04M","0,75%"
"11.04.2021","114,14","112,71","114,80","111,39","127,17M","0,53%"
"04.04.2021","113,53","107,36","113,70","107,26","162,69M","6,62%"
"28.03.2021","106,49","101,11","106,79","100,27","136,26M","5,19%"
"21.03.2021","101,24","101,38","103,38","99,80","150,86M","-0,11%"
"14.03.2021","101,35","102,25","105,68","100,15","162,28M","-1,12%"
"07.03.2021","102,50","104,20","105,69","100,26","159,41M","-2,24%"
"28.02.2021","104,85","102,40","105,31","99,70","187,83M","3,72%"
"21.02.2021","101,10","102,68","104,42","99,51","168,32M","-3,20%"
"14.02.2021","104,44","104,59","107,26","104,17","111,82M","-0,30%"
"07.02.2021","104,75","105,00","105,75","102,61","115,29M","0,30%"
"31.01.2021","104,44","92,23","105,33","92,23","282,93M","14,31%"
"24.01.2021","91,37","95,64","96,09","89,86","264,37M","-3,45%"
"17.01.2021","94,63","87,15","96,60","86,64","197,21M","9,55%"
"10.01.2021","86,38","88,85","89,22","85,59","148,44M","-3,91%"
"03.01.2021","89,89","88,00","89,97","84,81","181,69M","2,58%"
"27.12.2020","87,63","87,25","89,42","86,40","89,47M","1,07%"
"20.12.2020","86,71","85,46","87,21","84,70","86,64M","0,46%"
"13.12.2020","86,31","88,54","89,49","85,75","199,23M","-2,74%"
"06.12.2020","88,74","90,78","91,46","86,68","121,27M","-2,68%"
"29.11.2020","91,19","88,78","92,19","87,39","144,48M","2,06%"
"22.11.2020","89,35","87,01","89,85","85,51","84,95M","2,92%"
"15.11.2020","86,82","88,21","89,72","86,50","114,71M","-2,02%"
"08.11.2020","88,61","89,80","90,84","85,81","184,54M","0,71%"
"01.11.2020","87,99","81,18","89,59","80,61","215,38M","8,89%"
"25.10.2020","80,81","80,75","84,07","75,42","262,23M","-1,03%"
"18.10.2020","81,65","78,80","81,71","76,03","192,84M","4,16%"
"11.10.2020","78,39","76,90","79,42","76,46","193,04M","3,79%"
"04.10.2020","75,52","73,13","75,59","71,66","142,85M","3,77%"
"27.09.2020","72,78","73,60","74,75","72,31","167,64M","1,15%"
"20.09.2020","71,95","71,58","73,20","70,11","193,47M","-0,83%"
"13.09.2020","72,55","76,58","77,85","71,58","190,91M","-4,27%"
"06.09.2020","75,79","76,25","78,68","74,65","157,00M","-4,14%"
"30.08.2020","79,06","82,18","86,31","76,90","218,20M","-3,55%"
"23.08.2020","81,97","79,62","82,64","78,75","156,75M","4,05%"
"16.08.2020","78,78","75,80","79,59","75,25","140,08M","4,71%"
"09.08.2020","75,23","74,54","76,85","73,87","118,51M","0,42%"
"02.08.2020","74,92","74,55","76,00","73,20","172,92M","0,70%"
"26.07.2020","74,40","75,66","77,04","72,70","208,28M","-1,34%"
"19.07.2020","75,41","75,75","79,35","74,38","146,02M","-0,57%"
"12.07.2020","75,84","77,50","78,82","74,30","172,84M","-1,44%"
"05.07.2020","76,95","74,41","77,07","73,85","196,60M","4,70%"
"28.06.2020","73,50","68,02","74,43","67,58","184,76M","7,88%"
"21.06.2020","68,13","71,25","73,79","67,75","220,38M","-4,36%"
"14.06.2020","71,23","69,47","73,11","69,36","179,50M","0,83%"
"07.06.2020","70,65","71,31","73,64","69,29","183,08M","-1,88%"
"31.05.2020","72,00","71,29","72,45","70,30","145,99M","0,45%"
"24.05.2020","71,68","72,10","72,26","69,73","148,52M","1,44%"
"17.05.2020","70,66","68,08","70,85","67,71","176,42M","2,93%"
"10.05.2020","68,65","68,84","70,78","66,17","185,21M","-0,81%"
"03.05.2020","69,22","65,41","69,83","64,80","166,25M","5,09%"
"26.04.2020","65,87","64,60","68,01","61,52","337,96M","3,19%"
"19.04.2020","63,83","63,49","64,41","60,25","202,90M","-0,19%"
"12.04.2020","63,95","60,08","64,50","59,12","253,25M","6,00%"
"05.04.2020","60,33","56,65","61,10","56,25","219,30M","10,42%"
"29.03.2020","54,63","56,63","58,67","53,75","283,77M","-1,58%"
"22.03.2020","55,51","52,82","58,57","50,44","385,95M","3,94%"
"15.03.2020","53,41","54,48","57,63","51,85","429,70M","-12,03%"
"08.03.2020","60,71","60,25","63,79","55,42","352,68M","-6,29%"
"01.03.2020","64,79","67,57","70,41","62,86","278,66M","-3,25%"
"23.02.2020","66,96","71,15","71,84","63,41","293,45M","-9,72%"
"16.02.2020","74,17","75,72","76,54","73,92","116,93M","-2,32%"
"09.02.2020","75,94","73,86","76,49","73,76","150,31M","2,68%"
"02.02.2020","73,96","73,08","74,32","71,10","270,61M","3,23%"
"26.01.2020","71,64","71,58","73,48","70,97","156,43M","-2,28%"
"19.01.2020","73,31","73,95","75,03","73,16","133,83M","-0,90%"
"12.01.2020","73,98","71,76","74,03","71,27","156,91M","3,54%"
"05.01.2020","71,45","67,58","71,75","67,55","176,13M","4,95%"
"29.12.2019","68,08","67,84","68,69","66,61","90,23M","0,51%"
"22.12.2019","67,73","67,94","68,35","67,21","80,30M","0,25%"
"15.12.2019","67,56","67,75","68,22","67,44","165,13M","0,32%"
"08.12.2019","67,34","66,94","67,88","66,70","131,54M","0,56%"
"01.12.2019","66,97","65,13","67,12","63,85","149,09M","2,71%"
"24.11.2019","65,20","64,81","65,88","64,78","77,15M","0,81%"
"17.11.2019","64,68","66,62","66,70","64,46","132,10M","-2,99%"
"10.11.2019","66,68","65,20","66,68","64,61","133,15M","1,87%"
"03.11.2019","65,45","63,81","66,13","63,81","155,98M","2,89%"
"27.10.2019","63,61","63,75","64,96","62,47","208,00M","0,63%"
"20.10.2019","63,22","62,44","63,40","61,99","119,68M","1,60%"
"13.10.2019","62,22","60,69","63,19","60,59","120,17M","2,36%"
"06.10.2019","60,79","60,35","61,44","59,47","90,39M","0,39%"
"29.09.2019","60,55","61,03","61,64","58,16","139,00M","-1,22%"
"22.09.2019","61,30","61,33","62,40","60,46","145,64M","-0,32%"
"15.09.2019","61,49","61,52","62,22","60,82","122,71M","-0,82%"
"08.09.2019","62,00","60,35","62,12","59,66","138,62M","2,79%"
"01.09.2019","60,32","59,09","60,70","58,19","92,62M","1,33%"
"25.08.2019","59,53","57,97","60,02","57,74","99,17M","3,20%"
"18.08.2019","57,68","59,59","60,47","57,50","112,46M","-2,17%"
